id_estacion,fecha,precio_gasoleo_a,precio_gasoleo_premium,precio_gasolina_95,precio_gasolina_98
10765,01/01/2022,1.399,1.399,1.519,1.639
12054,01/01/2022,1.389,1.389,1.479,1.621
13933,01/01/2022,1.249,,1.389,
4369,01/01/2022,1.359,1.359,1.479,1.599
5195,01/01/2022,1.409,1.409,1.509,1.619
14123,01/01/2022,1.359,1.359,1.479,1.599
5313,01/01/2022,1.369,1.369,1.499,1.629
4415,01/01/2022,1.299,1.299,1.429,
4416,01/01/2022,1.299,,1.429,
4428,01/01/2022,1.279,1.279,1.399,1.519
4795,01/01/2022,1.369,1.369,1.499,1.631
5116,01/01/2022,1.369,1.369,1.509,1.639
5191,01/01/2022,1.399,1.399,1.499,1.619
5208,01/01/2022,1.419,1.419,1.509,1.619
5222,01/01/2022,1.379,1.379,1.499,1.619
5245,01/01/2022,1.379,1.379,1.509,1.619
5289,01/01/2022,1.389,1.389,1.479,1.609
5318,01/01/2022,1.319,,1.439,
14377,01/01/2022,1.319,,,
4394,01/01/2022,1.33,1.33,1.455,
4413,01/01/2022,1.309,,1.449,1.549
4417,01/01/2022,1.289,1.289,1.419,
4790,01/01/2022,1.379,1.379,1.499,1.629
5129,01/01/2022,1.289,,1.439,
5173,01/01/2022,1.389,1.389,1.489,1.621
5174,01/01/2022,1.385,1.385,1.489,
5272,01/01/2022,1.369,1.369,1.479,1.589
9546,01/01/2022,1.419,1.419,1.519,1.639
9601,01/01/2022,1.289,1.289,1.418,1.492
10129,01/01/2022,1.269,,,
11048,01/01/2022,1.425,1.425,1.529,1.589
11087,01/01/2022,1.409,1.409,1.499,1.619
11297,01/01/2022,1.419,1.419,1.519,1.639
12763,01/01/2022,1.279,,1.419,
12801,01/01/2022,1.319,1.319,1.439,1.559
13369,01/01/2022,1.249,,1.389,
13620,01/01/2022,1.349,1.349,1.469,1.589
13930,01/01/2022,1.309,,1.449,
14287,01/01/2022,1.369,1.369,1.479,1.619
14465,01/01/2022,1.339,,1.449,
14612,01/01/2022,,,,
10765,02/01/2022,1.399,1.399,1.519,1.639
12054,02/01/2022,1.389,1.389,1.479,1.621
13933,02/01/2022,1.249,,1.389,
4369,02/01/2022,1.359,1.359,1.479,1.599
5195,02/01/2022,1.409,1.409,1.509,1.619
14123,02/01/2022,1.359,1.359,1.479,1.599
5313,02/01/2022,1.369,1.369,1.499,1.629
4415,02/01/2022,1.299,1.299,1.429,
4416,02/01/2022,1.299,,1.429,
4428,02/01/2022,1.279,1.279,1.399,1.519
4795,02/01/2022,1.369,1.369,1.499,1.631
5116,02/01/2022,1.369,1.369,1.509,1.639
5191,02/01/2022,1.399,1.399,1.499,1.619
5208,02/01/2022,1.419,1.419,1.509,1.619
5222,02/01/2022,1.379,1.379,1.499,1.619
5245,02/01/2022,1.379,1.379,1.509,1.619
5289,02/01/2022,1.389,1.389,1.479,1.609
5318,02/01/2022,1.319,,1.439,
14377,02/01/2022,1.319,,,
4394,02/01/2022,1.33,1.33,1.455,
4413,02/01/2022,1.309,,1.449,1.549
4417,02/01/2022,1.289,1.289,1.419,
4790,02/01/2022,1.379,1.379,1.499,1.629
5129,02/01/2022,1.289,,1.439,
5173,02/01/2022,1.388,1.388,1.494,1.626
5174,02/01/2022,1.389,1.389,1.499,
5272,02/01/2022,1.369,1.369,1.479,1.589
9546,02/01/2022,1.419,1.419,1.519,1.639
9601,02/01/2022,1.289,1.289,1.418,1.492
10129,02/01/2022,1.269,,,
11048,02/01/2022,1.425,1.425,1.529,1.589
11087,02/01/2022,1.409,1.409,1.499,1.619
11297,02/01/2022,1.419,1.419,1.519,1.639
12763,02/01/2022,1.279,,1.419,
12801,02/01/2022,1.319,1.319,1.439,1.559
13369,02/01/2022,1.249,,1.389,
13620,02/01/2022,1.349,1.349,1.469,1.589
13930,02/01/2022,1.309,,1.449,
14287,02/01/2022,1.369,1.369,1.479,1.619
14465,02/01/2022,1.339,,1.449,
14612,02/01/2022,,,,
10765,03/01/2022,1.399,1.399,1.519,1.639
12054,03/01/2022,1.389,1.389,1.479,1.621
13933,03/01/2022,1.259,,1.399,
4369,03/01/2022,1.359,1.359,1.479,1.599
5195,03/01/2022,1.409,1.409,1.509,1.619
14123,03/01/2022,1.359,1.359,1.479,1.599
15000,03/01/2022,1.278,1.278,1.398,
5313,03/01/2022,1.369,1.369,1.499,1.629
4415,03/01/2022,1.299,1.299,1.429,
4416,03/01/2022,1.299,,1.429,
4428,03/01/2022,1.279,1.279,1.399,1.519
4795,03/01/2022,1.369,1.369,1.499,1.631
5116,03/01/2022,1.369,1.369,1.519,1.659
5191,03/01/2022,1.399,1.399,1.499,1.619
5208,03/01/2022,1.419,1.419,1.509,1.619
5222,03/01/2022,1.379,1.379,1.499,1.619
5245,03/01/2022,1.379,1.379,1.509,1.619
5289,03/01/2022,1.389,1.389,1.479,1.609
5318,03/01/2022,1.319,,1.439,
14377,03/01/2022,1.319,,,
4394,03/01/2022,1.33,1.33,1.455,
4413,03/01/2022,1.309,,1.449,1.549
4417,03/01/2022,1.289,1.289,1.419,
4790,03/01/2022,1.379,1.379,1.499,1.629
5129,03/01/2022,1.289,,1.439,
5173,03/01/2022,1.389,1.389,1.494,1.626
5174,03/01/2022,1.389,1.389,1.499,
5272,03/01/2022,1.369,1.369,1.479,1.589
9546,03/01/2022,1.419,1.419,1.519,1.639
9601,03/01/2022,1.289,1.289,1.418,1.492
10129,03/01/2022,1.269,,,
11048,03/01/2022,1.425,1.425,1.529,1.589
11087,03/01/2022,1.409,1.409,1.499,1.619
11297,03/01/2022,1.419,1.419,1.519,1.639
12763,03/01/2022,1.289,,1.419,
12801,03/01/2022,1.319,1.319,1.439,1.559
13369,03/01/2022,1.249,,1.389,
13620,03/01/2022,1.349,1.349,1.469,1.589
13930,03/01/2022,1.309,,1.449,
14287,03/01/2022,1.369,1.369,1.499,1.629
14465,03/01/2022,1.339,,1.449,
14612,03/01/2022,,,,
10765,04/01/2022,1.389,1.389,1.499,1.639
12054,04/01/2022,1.389,1.389,1.489,1.631
13933,04/01/2022,1.259,,1.389,
4369,04/01/2022,1.359,1.359,1.479,1.599
5195,04/01/2022,1.409,1.409,1.509,1.619
14123,04/01/2022,1.359,1.359,1.479,1.599
15000,04/01/2022,1.278,1.278,1.398,
5313,04/01/2022,1.379,1.379,1.499,1.629
4415,04/01/2022,1.309,1.309,1.439,
